Trader_Type,Transaction_Type,Stock_Symbol,Trade_Volume,Sentiment_Score,Price_Impact,Transaction_Date
Whale,Buy,ETH,991168,0.77,165.57,2020-06-26
Whale,Sell,TSLA,131762,-0.31,-11.27,2021-01-27
Retail Investor,Sell,ETH,425,-0.26,-0.02,2022-01-10
Whale,Sell,TSLA,699897,-0.6,-10.86,2023-06-16
Insider,Sell,META,3318,-0.66,-0.52,2022-11-19
Whale,Buy,AAPL,108564,0.82,2.27,2019-08-04
Whale,Sell,ETH,454030,-0.88,-64.31,2022-09-05
Insider,Buy,META,2371,0.36,0.04,2020-02-21
Insider,Sell,ETH,9461,-0.56,-0.48,2023-05-26
Retail Investor,Sell,TSLA,360,-0.41,-0.01,2022-09-19
Insider,Sell,GOOGL,1948,-0.88,-0.15,2021-09-09
Retail Investor,Sell,SPY,454,-0.66,-0.03,2022-06-14
Whale,Buy,SPY,754237,0.35,74.96,2021-03-30
Insider,Buy,GOOGL,7719,0.37,0.42,2021-10-25
Retail Investor,Sell,BTC,291,-0.35,-0.01,2022-05-22
Whale,Buy,NVDA,969038,0.24,29.92,2021-05-09
Insider,Sell,SPY,1248,-0.55,-0.12,2021-05-19
Insider,Buy,META,3499,0.41,0.32,2022-06-25
Insider,Buy,META,4618,0.79,0.4,2023-03-21
Retail Investor,Sell,SPY,436,-0.89,-0.04,2019-08-11
Whale,Buy,AMZN,94700,0.42,10.87,2022-10-09
Insider,Sell,BTC,9909,-0.86,-2.16,2021-07-27
Insider,Buy,GOOGL,5634,0.69,0.74,2023-04-16
Retail Investor,Sell,MSFT,387,-0.51,-0.01,2020-08-11
Insider,Sell,AAPL,9315,-0.25,-0.07,2021-11-21
Retail Investor,Sell,SPY,255,-0.84,-0.04,2020-06-06
Whale,Sell,NVDA,11746,-0.53,-0.38,2023-05-28
Retail Investor,Buy,BTC,459,0.89,0.09,2023-06-13
Retail Investor,Buy,ETH,313,0.53,0.03,2022-12-13
Whale,Buy,TSLA,749107,0.76,28.68,2021-02-18
Retail Investor,Buy,META,280,0.56,0.03,2019-06-30
Retail Investor,Sell,ETH,41,-0.33,-0.0,2020-10-25
Retail Investor,Buy,META,341,0.36,0.03,2021-06-29
Retail Investor,Sell,MSFT,305,-0.35,-0.0,2021-02-12
Whale,Buy,ETH,618290,0.71,5.61,2021-07-13
Insider,Buy,ETH,9947,0.72,1.53,2023-09-20
Whale,Buy,META,308136,0.29,23.21,2020-08-24
Whale,Buy,META,138729,0.44,16.03,2023-08-22
Whale,Sell,NVDA,528535,-0.77,-50.44,2021-07-25
Retail Investor,Buy,SPY,2,0.34,0.0,2020-12-24
Insider,Sell,AAPL,4288,-0.49,-0.59,2020-09-11
Retail Investor,Buy,AAPL,21,0.5,0.0,2020-11-21
Whale,Buy,AMZN,578726,0.51,61.73,2021-07-07
Insider,Buy,ETH,9629,0.46,0.15,2021-10-08
Insider,Sell,BTC,6796,-0.6,-0.68,2019-02-14
Insider,Buy,GOOGL,2363,0.59,0.35,2023-12-23
Retail Investor,Sell,GOOGL,104,-0.87,-0.03,2020-03-08
Insider,Buy,AAPL,5292,0.76,0.72,2021-05-01
Whale,Buy,TSLA,44110,0.83,8.63,2021-05-04
Whale,Sell,AAPL,730301,-0.37,-34.33,2023-06-20
Insider,Buy,NVDA,7003,0.68,1.28,2022-04-28
Whale,Buy,ETH,54145,0.59,3.52,2023-06-08
Whale,Buy,TSLA,483198,0.7,43.0,2022-12-08
Insider,Sell,MSFT,7811,-0.66,-1.25,2019-03-05
Retail Investor,Sell,AAPL,259,-0.45,-0.01,2022-04-06
Whale,Buy,NVDA,614120,0.29,49.54,2021-04-24
Retail Investor,Buy,AAPL,30,0.56,0.0,2021-10-07
Retail Investor,Sell,ETH,460,-0.73,-0.04,2020-01-14
Insider,Buy,GOOGL,5936,0.2,0.11,2020-04-17
Whale,Buy,TSLA,939654,0.9,237.74,2023-02-19
Insider,Buy,SPY,6182,0.87,0.78,2020-11-30
Insider,Sell,BTC,9353,-0.7,-0.25,2024-01-25
Whale,Buy,AAPL,487483,0.65,56.38,2024-02-12
Whale,Sell,AAPL,737114,-0.38,-35.63,2023-01-09
Whale,Buy,MSFT,92636,0.78,8.52,2019-10-28
Retail Investor,Buy,NVDA,65,0.33,0.0,2021-12-08
Whale,Buy,AAPL,376140,0.43,30.28,2020-07-30
Retail Investor,Buy,META,456,0.77,0.02,2019-06-30
Retail Investor,Sell,META,297,-0.67,-0.03,2019-02-10
Insider,Sell,AAPL,3674,-0.47,-0.07,2023-11-13
Insider,Buy,NVDA,3462,0.56,0.06,2019-05-29
Insider,Sell,MSFT,4956,-0.87,-0.51,2019-01-27
Insider,Buy,SPY,6130,0.85,1.12,2019-04-01
Insider,Sell,GOOGL,9039,-0.48,-0.2,2020-01-09
Retail Investor,Sell,GOOGL,168,-0.23,-0.0,2022-05-13
Insider,Buy,META,1217,0.64,0.03,2022-12-08
Retail Investor,Buy,ETH,64,0.39,0.0,2019-12-30
Retail Investor,Sell,META,392,-0.48,-0.03,2021-03-08
Whale,Buy,MSFT,655917,0.63,40.14,2019-02-18
Whale,Buy,NVDA,134168,0.84,29.54,2023-04-08
Insider,Buy,MSFT,2205,0.36,0.21,2019-09-25
Insider,Buy,META,4950,0.81,0.89,2020-08-13
Whale,Sell,SPY,671534,-0.47,-45.96,2022-09-21
Insider,Buy,SPY,2346,0.74,0.26,2021-05-11
Retail Investor,Buy,TSLA,35,0.86,0.01,2019-12-26
Retail Investor,Buy,SPY,303,0.59,0.02,2022-09-27
Whale,Buy,SPY,582296,0.55,25.03,2019-11-18
Whale,Buy,GOOGL,504550,0.31,35.79,2020-11-15
Whale,Buy,TSLA,923189,0.83,68.23,2024-01-29
Whale,Sell,SPY,899475,-0.87,-149.57,2021-10-13
Whale,Buy,ETH,73137,0.42,4.22,2019-10-10
Whale,Sell,GOOGL,407003,-0.76,-26.3,2021-07-25
Whale,Sell,AAPL,627823,-0.37,-30.87,2019-11-14
Whale,Sell,META,439297,-0.3,-2.46,2019-02-26
Insider,Buy,AMZN,2704,0.62,0.18,2020-12-06
Insider,Buy,SPY,6968,0.54,0.91,2020-04-18
Whale,Sell,TSLA,265436,-0.4,-7.28,2023-04-27
Retail Investor,Sell,BTC,334,-0.81,-0.03,2022-06-22
Whale,Sell,META,710201,-0.56,-21.78,2020-03-20
Whale,Buy,AMZN,166089,0.67,26.23,2023-06-27
Retail Investor,Sell,NVDA,486,-0.7,-0.09,2021-03-09
Retail Investor,Buy,SPY,315,0.56,0.01,2020-03-23
Whale,Buy,GOOGL,261723,0.47,11.07,2023-01-08
Insider,Buy,NVDA,4656,0.23,0.11,2019-06-17
Retail Investor,Buy,MSFT,69,0.23,0.0,2022-10-25
Insider,Buy,AMZN,4534,0.33,0.17,2020-05-01
Whale,Buy,SPY,973588,0.32,8.12,2021-12-29
Insider,Buy,TSLA,2016,0.21,0.01,2020-10-24
Retail Investor,Sell,META,353,-0.36,-0.03,2021-03-25
Retail Investor,Sell,BTC,489,-0.84,-0.04,2021-07-03
Insider,Sell,AMZN,6507,-0.23,-0.31,2021-12-29
Whale,Sell,GOOGL,453901,-0.32,-35.92,2023-11-17
Insider,Buy,META,5307,0.57,0.39,2022-05-18
Whale,Buy,SPY,169729,0.7,3.48,2023-08-31
Whale,Sell,AMZN,320554,-0.28,-26.45,2023-09-24
Whale,Buy,TSLA,526360,0.67,97.15,2021-12-21
Insider,Sell,MSFT,1730,-0.22,-0.1,2021-07-22
Whale,Sell,AAPL,838802,-0.66,-49.04,2021-07-17
Insider,Buy,BTC,3289,0.62,0.58,2021-05-19
Retail Investor,Buy,MSFT,354,0.87,0.05,2022-03-23
Insider,Sell,MSFT,4569,-0.34,-0.3,2023-11-04
Insider,Sell,BTC,3627,-0.86,-0.66,2022-12-06
Whale,Sell,AMZN,706234,-0.23,-4.5,2020-12-10
Retail Investor,Sell,SPY,185,-0.31,-0.0,2023-03-27
Insider,Buy,SPY,6493,0.62,0.33,2019-07-01
Retail Investor,Sell,META,303,-0.3,-0.03,2022-05-13
Insider,Buy,ETH,3013,0.71,0.47,2020-10-11
Retail Investor,Buy,NVDA,205,0.3,0.02,2020-04-16
Retail Investor,Buy,TSLA,43,0.57,0.0,2022-12-09
Insider,Sell,TSLA,7116,-0.38,-0.07,2023-07-04
Insider,Buy,META,9951,0.5,0.3,2019-10-21
Whale,Buy,SPY,559770,0.37,40.8,2020-03-08
Whale,Buy,AMZN,701339,0.9,7.01,2023-01-30
Whale,Sell,MSFT,880750,-0.73,-97.4,2023-05-25
Whale,Sell,ETH,582513,-0.3,-13.6,2021-07-09
Whale,Sell,TSLA,682481,-0.42,-8.37,2020-05-24
Whale,Sell,ETH,525244,-0.37,-30.6,2021-09-06
Whale,Sell,BTC,12188,-0.59,-1.02,2020-06-24
Whale,Buy,TSLA,833251,0.86,164.59,2020-04-17
Insider,Buy,SPY,6556,0.8,0.14,2019-02-11
Whale,Buy,MSFT,378858,0.41,14.12,2022-04-07
Insider,Sell,ETH,6310,-0.54,-0.3,2022-12-23
Whale,Buy,GOOGL,635746,0.59,40.66,2022-04-09
Whale,Buy,BTC,659835,0.78,153.27,2021-01-08
Whale,Buy,MSFT,352586,0.32,25.06,2023-09-05
Whale,Buy,META,137720,0.63,3.5,2020-12-25
Retail Investor,Buy,META,352,0.73,0.03,2021-12-12
Whale,Buy,GOOGL,287223,0.71,32.44,2022-07-25
Insider,Buy,META,8602,0.56,1.03,2021-08-02
Retail Investor,Buy,ETH,331,0.29,0.0,2019-11-11
Whale,Sell,META,777809,-0.69,-96.79,2023-06-02
Retail Investor,Buy,META,261,0.29,0.01,2021-06-09
Whale,Sell,NVDA,673448,-0.24,-24.48,2023-12-25
Insider,Buy,META,4732,0.43,0.56,2023-10-04
Retail Investor,Sell,MSFT,337,-0.53,-0.03,2021-01-25
Insider,Buy,BTC,7410,0.75,1.21,2020-11-16
Retail Investor,Buy,AMZN,478,0.41,0.01,2021-10-09
Retail Investor,Sell,NVDA,281,-0.53,-0.03,2020-10-03
Whale,Sell,AAPL,944287,-0.37,-34.66,2019-05-26
Retail Investor,Sell,AAPL,32,-0.53,-0.0,2022-03-26
Insider,Buy,AMZN,7288,0.38,0.79,2023-07-08
Insider,Buy,AAPL,7663,0.36,0.4,2021-03-04
Insider,Sell,AAPL,8926,-0.56,-0.31,2019-04-29
Retail Investor,Sell,META,416,-0.46,-0.03,2020-03-03
Whale,Sell,AAPL,600379,-0.35,-26.87,2020-06-30
Whale,Sell,NVDA,539143,-0.45,-22.47,2021-08-29
Retail Investor,Sell,TSLA,327,-0.9,-0.04,2021-03-31
Whale,Sell,NVDA,636753,-0.35,-23.59,2020-09-11
Whale,Buy,AMZN,570282,0.79,112.56,2019-12-08
Insider,Sell,AAPL,9760,-0.32,-0.69,2021-09-24
Whale,Sell,ETH,734019,-0.35,-23.24,2022-09-16
Retail Investor,Sell,MSFT,493,-0.79,-0.04,2020-09-30
Whale,Sell,SPY,292159,-0.81,-13.3,2023-12-28
Insider,Sell,NVDA,8441,-0.59,-0.8,2023-01-06
Whale,Buy,NVDA,783194,0.61,132.4,2020-02-26
Retail Investor,Sell,AAPL,221,-0.22,-0.01,2020-07-18
Insider,Buy,TSLA,7193,0.67,1.1,2022-03-11
Insider,Buy,MSFT,1196,0.25,0.03,2022-12-02
Insider,Sell,AAPL,3003,-0.8,-0.66,2019-11-15
Whale,Sell,GOOGL,549672,-0.21,-15.95,2021-02-01
Retail Investor,Sell,BTC,167,-0.36,-0.01,2022-04-16
Whale,Buy,NVDA,855039,0.7,82.99,2021-03-15
Insider,Sell,ETH,9685,-0.87,-1.74,2019-03-10
Retail Investor,Buy,TSLA,81,0.27,0.0,2021-07-31
Retail Investor,Buy,NVDA,136,0.72,0.02,2021-09-14
Retail Investor,Buy,TSLA,398,0.77,0.06,2021-06-29
Whale,Buy,AAPL,392381,0.52,57.84,2023-01-23
Insider,Sell,META,6975,-0.7,-0.64,2020-07-10
Insider,Buy,MSFT,2994,0.79,0.54,2020-06-26
Retail Investor,Buy,SPY,381,0.31,0.03,2019-02-15
Whale,Buy,AMZN,517379,0.27,8.43,2022-06-30
Retail Investor,Sell,AAPL,174,-0.28,-0.0,2019-08-11
Retail Investor,Buy,AAPL,221,0.65,0.01,2020-06-30
Insider,Buy,GOOGL,8835,0.44,0.86,2022-05-07
Retail Investor,Sell,AAPL,22,-0.26,-0.0,2022-06-22
Retail Investor,Buy,MSFT,244,0.47,0.01,2023-08-09
Insider,Sell,MSFT,8165,-0.82,-1.32,2019-06-11
Whale,Buy,BTC,203808,0.88,51.51,2021-05-26
Whale,Buy,BTC,704662,0.56,88.91,2021-04-08
Whale,Buy,AAPL,232410,0.47,29.6,2020-12-16
Insider,Sell,MSFT,2518,-0.63,-0.44,2019-11-20
Whale,Sell,NVDA,111204,-0.56,-7.47,2019-03-19
Whale,Buy,MSFT,111747,0.21,6.59,2019-02-05
Whale,Sell,GOOGL,110187,-0.64,-15.89,2020-05-25
Retail Investor,Sell,MSFT,17,-0.66,-0.0,2022-06-21
Insider,Sell,ETH,1365,-0.38,-0.05,2021-05-02
Whale,Sell,BTC,468487,-0.48,-10.26,2019-06-09
Retail Investor,Sell,NVDA,333,-0.63,-0.06,2024-02-20
Insider,Buy,ETH,4298,0.9,0.26,2022-04-13
Retail Investor,Sell,SPY,351,-0.83,-0.01,2024-02-29
Insider,Sell,NVDA,8136,-0.39,-0.66,2023-04-23
Whale,Buy,GOOGL,23070,0.64,4.24,2019-08-06
Whale,Sell,MSFT,828786,-0.59,-68.26,2023-10-04
Insider,Buy,BTC,8602,0.73,0.1,2021-12-10
Retail Investor,Buy,BTC,19,0.22,0.0,2019-02-21
Insider,Buy,MSFT,2093,0.86,0.34,2020-04-18
Insider,Sell,META,3984,-0.77,-0.56,2020-02-25
Retail Investor,Buy,NVDA,489,0.37,0.02,2021-10-13
Retail Investor,Sell,GOOGL,338,-0.64,-0.01,2023-03-12
Insider,Sell,BTC,9352,-0.32,-0.55,2019-07-18
Retail Investor,Sell,META,123,-0.32,-0.0,2019-01-01
Retail Investor,Buy,META,46,0.68,0.0,2020-11-10
Insider,Buy,ETH,8972,0.55,1.46,2022-03-03
Retail Investor,Sell,ETH,482,-0.44,-0.06,2020-05-30
Insider,Buy,AMZN,6173,0.47,0.67,2020-11-22
Whale,Buy,TSLA,346386,0.35,9.39,2023-07-12
Retail Investor,Buy,TSLA,340,0.43,0.01,2021-10-06
Insider,Sell,NVDA,7441,-0.51,-0.82,2020-11-23
Insider,Buy,AMZN,1427,0.83,0.05,2021-07-12
Retail Investor,Buy,NVDA,290,0.4,0.03,2019-12-05
Insider,Buy,NVDA,4327,0.82,0.49,2023-03-07
Retail Investor,Buy,AMZN,244,0.43,0.01,2021-10-28
Whale,Sell,BTC,196851,-0.87,-37.61,2021-05-24
Insider,Buy,TSLA,5399,0.46,0.71,2019-08-15
Whale,Buy,TSLA,577692,0.54,89.34,2021-07-24
Whale,Sell,ETH,495330,-0.26,-2.37,2019-05-05
Retail Investor,Sell,AAPL,112,-0.44,-0.01,2019-10-31
Retail Investor,Buy,BTC,292,0.75,0.01,2021-09-13
Retail Investor,Buy,META,144,0.88,0.02,2021-10-28
Whale,Sell,AMZN,485768,-0.46,-64.25,2023-10-14
Retail Investor,Buy,TSLA,380,0.48,0.01,2021-09-06
Insider,Sell,NVDA,8781,-0.73,-0.82,2022-06-03
Whale,Sell,GOOGL,599551,-0.56,-63.75,2022-07-05
Whale,Sell,ETH,741935,-0.85,-170.65,2020-07-12
Insider,Buy,BTC,2371,0.39,0.15,2020-01-26
Retail Investor,Sell,BTC,294,-0.83,-0.05,2022-02-22
Insider,Buy,BTC,8976,0.44,0.7,2023-02-11
Whale,Sell,AMZN,35022,-0.78,-5.99,2021-08-17
Insider,Sell,AAPL,9966,-0.26,-0.7,2019-10-28
Retail Investor,Buy,TSLA,105,0.75,0.0,2020-07-18
Retail Investor,Buy,SPY,196,0.3,0.01,2024-02-08
Retail Investor,Buy,TSLA,218,0.74,0.02,2020-12-06
Retail Investor,Buy,NVDA,255,0.79,0.01,2020-09-23
Retail Investor,Buy,AMZN,258,0.37,0.01,2023-01-08
Retail Investor,Sell,GOOGL,395,-0.71,-0.01,2022-07-13
Whale,Buy,GOOGL,294754,0.83,60.73,2021-11-01
Whale,Buy,META,488588,0.77,7.79,2021-07-20
Insider,Buy,META,1523,0.24,0.03,2023-09-02
Whale,Buy,ETH,70874,0.78,4.48,2020-09-07
Retail Investor,Buy,ETH,400,0.51,0.0,2023-09-30
Insider,Sell,MSFT,2474,-0.74,-0.49,2021-08-18
Insider,Sell,AAPL,6720,-0.43,-0.46,2022-02-15
Whale,Sell,ETH,487592,-0.55,-73.63,2021-03-19
Retail Investor,Buy,BTC,46,0.86,0.0,2023-04-22
Insider,Buy,META,2955,0.5,0.26,2020-03-24
Whale,Sell,GOOGL,492746,-0.35,-50.21,2023-05-16
Retail Investor,Buy,SPY,255,0.3,0.01,2020-05-24
Whale,Buy,AMZN,609931,0.7,33.67,2019-02-22
Insider,Buy,MSFT,7879,0.9,1.05,2023-05-29
Whale,Buy,AMZN,578505,0.37,16.12,2022-01-18
Retail Investor,Sell,NVDA,4,-0.73,-0.0,2020-09-23
Insider,Sell,GOOGL,3575,-0.47,-0.24,2019-07-13
Whale,Buy,BTC,893991,0.78,197.52,2021-06-05
Insider,Buy,ETH,2830,0.83,0.12,2020-12-20
Whale,Buy,BTC,306074,0.81,32.57,2019-09-18
Insider,Buy,NVDA,9978,0.88,2.48,2020-10-14
Insider,Buy,AAPL,6922,0.29,0.04,2019-07-17
Retail Investor,Sell,NVDA,160,-0.78,-0.01,2022-10-13
Retail Investor,Buy,NVDA,204,0.72,0.03,2019-01-21
Whale,Sell,META,752305,-0.86,-91.99,2021-07-28
Insider,Sell,GOOGL,6641,-0.86,-1.68,2020-02-15
Retail Investor,Sell,META,235,-0.35,-0.02,2020-07-18
Retail Investor,Buy,NVDA,321,0.43,0.01,2020-07-18
Insider,Sell,SPY,3263,-0.28,-0.13,2021-11-19
Retail Investor,Buy,AMZN,305,0.71,0.04,2023-02-20
Whale,Sell,SPY,290046,-0.8,-37.64,2019-02-11
Insider,Buy,ETH,1601,0.62,0.21,2022-05-08
Retail Investor,Sell,AMZN,40,-0.51,-0.0,2021-08-23
Retail Investor,Sell,META,352,-0.55,-0.05,2023-06-21
Insider,Buy,ETH,7154,0.73,0.82,2021-08-13
Retail Investor,Buy,NVDA,166,0.86,0.02,2022-09-21
Insider,Sell,MSFT,8255,-0.6,-0.58,2021-05-16
Insider,Buy,AMZN,4555,0.74,0.45,2021-04-21
Insider,Buy,BTC,5983,0.41,0.53,2020-04-19
Insider,Buy,AAPL,1029,0.37,0.03,2019-02-12
Insider,Buy,AAPL,9169,0.82,1.34,2019-04-07
Whale,Sell,BTC,833660,-0.84,-180.61,2021-08-18
Insider,Buy,AMZN,6228,0.22,0.04,2020-03-02
Whale,Sell,TSLA,400015,-0.36,-33.37,2023-03-20
Insider,Sell,BTC,5108,-0.87,-0.68,2020-02-20
Retail Investor,Sell,META,330,-0.58,-0.02,2021-11-02
Retail Investor,Sell,ETH,206,-0.54,-0.0,2023-10-03
Retail Investor,Buy,GOOGL,19,0.61,0.0,2020-03-09
Insider,Sell,SPY,3872,-0.74,-0.53,2019-06-15
Whale,Buy,MSFT,487833,0.72,5.69,2021-12-18
Retail Investor,Sell,GOOGL,45,-0.76,-0.0,2019-10-16
Whale,Sell,TSLA,345826,-0.64,-6.35,2022-09-16
Whale,Buy,GOOGL,923233,0.36,37.77,2023-03-10
Retail Investor,Sell,GOOGL,18,-0.32,-0.0,2022-12-12
Whale,Buy,MSFT,221578,0.29,15.88,2021-07-11
Retail Investor,Buy,SPY,100,0.74,0.01,2020-08-24
Retail Investor,Buy,NVDA,100,0.79,0.01,2019-04-07
Whale,Buy,GOOGL,370918,0.8,10.17,2022-08-23
Retail Investor,Buy,NVDA,209,0.7,0.01,2022-12-04
Insider,Buy,AAPL,3490,0.41,0.07,2022-02-02
Retail Investor,Buy,META,177,0.22,0.01,2022-08-30
Insider,Buy,MSFT,4683,0.71,0.92,2019-01-16
Whale,Sell,TSLA,23047,-0.64,-3.01,2019-06-16
Retail Investor,Sell,ETH,366,-0.22,-0.02,2024-02-18
Whale,Sell,MSFT,91586,-0.72,-5.13,2020-04-26
Insider,Sell,META,2087,-0.56,-0.3,2021-12-31
Whale,Sell,SPY,667295,-0.66,-111.27,2022-02-28
Retail Investor,Buy,AMZN,44,0.64,0.0,2021-03-20
Insider,Sell,SPY,4800,-0.42,-0.34,2019-11-11
Whale,Sell,AAPL,356059,-0.59,-47.44,2020-08-15
Whale,Sell,GOOGL,799983,-0.47,-109.31,2022-04-01
Whale,Sell,TSLA,777605,-0.76,-138.21,2022-07-07
Retail Investor,Sell,MSFT,491,-0.84,-0.05,2019-01-28
Retail Investor,Buy,NVDA,211,0.52,0.0,2022-09-12
Insider,Buy,AMZN,1459,0.38,0.01,2020-09-11
Whale,Sell,SPY,775304,-0.56,-26.08,2021-03-30
Whale,Buy,META,790070,0.28,56.87,2023-05-05
Whale,Buy,ETH,314699,0.64,8.98,2021-12-08
Insider,Buy,SPY,7256,0.87,0.97,2021-10-01
Whale,Buy,MSFT,883776,0.34,15.58,2021-02-23
Retail Investor,Sell,NVDA,302,-0.43,-0.04,2020-04-05
Retail Investor,Sell,AAPL,309,-0.68,-0.05,2021-09-22
Retail Investor,Buy,SPY,165,0.47,0.01,2023-06-13
Whale,Sell,SPY,931007,-0.32,-26.81,2022-10-06
Insider,Buy,GOOGL,6835,0.75,1.13,2023-02-28
Retail Investor,Sell,AMZN,50,-0.77,-0.01,2020-05-09
Whale,Buy,GOOGL,448354,0.4,24.86,2020-04-25
Whale,Sell,SPY,622734,-0.21,-30.78,2019-12-10
Retail Investor,Buy,SPY,381,0.81,0.01,2021-07-09
Whale,Buy,SPY,547236,0.66,15.1,2020-08-16
Retail Investor,Buy,NVDA,223,0.51,0.01,2020-10-17
Whale,Sell,SPY,500265,-0.77,-16.77,2019-12-29
Whale,Sell,AAPL,736764,-0.47,-101.88,2020-03-25
Retail Investor,Sell,TSLA,386,-0.38,-0.03,2019-05-25
Retail Investor,Buy,ETH,423,0.43,0.05,2020-02-09
Whale,Sell,ETH,214599,-0.36,-17.58,2021-11-30
Retail Investor,Buy,AMZN,27,0.87,0.0,2023-04-22
Whale,Buy,AMZN,154093,0.34,3.51,2023-11-11
Whale,Sell,TSLA,132335,-0.43,-12.33,2020-12-27
Insider,Sell,AMZN,4124,-0.6,-0.22,2021-07-27
Insider,Buy,AMZN,4617,0.67,0.35,2022-02-15
Insider,Sell,GOOGL,6834,-0.44,-0.86,2019-12-14
Retail Investor,Buy,NVDA,344,0.73,0.05,2019-01-16
Insider,Buy,NVDA,6560,0.51,0.96,2020-02-02
Insider,Sell,META,8019,-0.31,-0.07,2020-10-30
Retail Investor,Buy,META,202,0.22,0.01,2023-02-02
Retail Investor,Sell,GOOGL,404,-0.4,-0.02,2023-09-28
Whale,Buy,AAPL,782476,0.36,18.12,2020-08-11
Insider,Buy,ETH,8100,0.35,0.81,2023-07-10
Insider,Buy,TSLA,3137,0.22,0.18,2019-08-18
Retail Investor,Sell,BTC,289,-0.24,-0.01,2023-10-18
Whale,Buy,ETH,583374,0.79,54.5,2020-09-12
Insider,Sell,NVDA,8316,-0.84,-0.96,2023-06-19
Retail Investor,Sell,ETH,271,-0.65,-0.04,2020-03-27
Retail Investor,Sell,TSLA,278,-0.43,-0.01,2019-03-09
Retail Investor,Buy,AMZN,209,0.65,0.02,2022-10-11
Retail Investor,Sell,TSLA,443,-0.81,-0.08,2022-02-12
Insider,Buy,AAPL,5829,0.5,0.57,2020-06-24
Insider,Buy,NVDA,5476,0.27,0.22,2022-07-02
Retail Investor,Buy,TSLA,150,0.5,0.02,2021-06-18
Whale,Sell,GOOGL,406966,-0.51,-13.06,2019-10-06
Insider,Buy,GOOGL,7102,0.7,0.55,2023-05-10
Whale,Sell,MSFT,827010,-0.84,-29.9,2020-03-25
Insider,Sell,NVDA,4166,-0.43,-0.32,2022-08-21
Whale,Buy,MSFT,285393,0.2,7.32,2019-09-14
Retail Investor,Buy,MSFT,28,0.75,0.0,2019-01-31
Retail Investor,Sell,AMZN,468,-0.44,-0.01,2022-11-16
Whale,Sell,NVDA,349342,-0.62,-43.49,2020-05-24
Retail Investor,Sell,GOOGL,22,-0.78,-0.0,2020-08-07
Retail Investor,Sell,GOOGL,340,-0.73,-0.01,2019-12-04
Whale,Sell,TSLA,459059,-0.64,-80.79,2021-05-12
Insider,Sell,META,3606,-0.56,-0.55,2023-09-23
Whale,Sell,GOOGL,700960,-0.27,-49.41,2022-06-06
Insider,Buy,AAPL,6507,0.77,1.04,2021-01-29
Retail Investor,Sell,ETH,423,-0.34,-0.04,2020-08-26
Retail Investor,Sell,GOOGL,159,-0.44,-0.01,2023-11-05
Retail Investor,Buy,BTC,419,0.23,0.02,2020-12-17
Retail Investor,Sell,AMZN,485,-0.34,-0.03,2020-05-05
Whale,Buy,AAPL,134001,0.79,28.7,2020-01-16
Whale,Buy,MSFT,459383,0.43,16.61,2020-02-24
Insider,Buy,SPY,9886,0.61,1.38,2020-10-29
Whale,Buy,BTC,22044,0.39,2.43,2020-04-05
Insider,Buy,AMZN,8698,0.49,0.58,2020-05-18
Whale,Sell,GOOGL,231721,-0.82,-7.82,2022-07-06
Retail Investor,Buy,ETH,485,0.61,0.02,2019-05-19
Retail Investor,Buy,NVDA,260,0.7,0.02,2023-11-28
Insider,Buy,MSFT,7579,0.73,0.45,2021-10-11
Whale,Sell,BTC,874012,-0.56,-40.22,2022-08-07
Retail Investor,Buy,TSLA,480,0.25,0.0,2021-04-28
Whale,Sell,AMZN,995391,-0.69,-21.05,2022-03-14
Whale,Sell,SPY,542400,-0.26,-8.06,2021-01-11
Retail Investor,Sell,META,306,-0.28,-0.02,2022-06-27
Whale,Sell,ETH,393434,-0.81,-56.73,2020-10-13
Whale,Buy,NVDA,541122,0.77,10.94,2023-01-10
Whale,Sell,NVDA,312404,-0.58,-29.47,2023-02-13
Insider,Buy,MSFT,9254,0.36,0.53,2022-03-07
Whale,Sell,BTC,685561,-0.27,-48.47,2021-06-28
Retail Investor,Sell,BTC,136,-0.81,-0.03,2022-12-06
Retail Investor,Sell,BTC,85,-0.64,-0.0,2022-04-11
Insider,Buy,ETH,7549,0.8,0.63,2020-02-08
Whale,Sell,ETH,929597,-0.68,-112.69,2022-10-23
Insider,Sell,AMZN,5635,-0.89,-0.54,2020-10-29
Whale,Buy,MSFT,42853,0.32,2.06,2021-05-30
Insider,Sell,MSFT,4131,-0.31,-0.07,2021-12-29
Retail Investor,Buy,AAPL,379,0.55,0.01,2020-08-27
Insider,Buy,META,5740,0.47,0.8,2023-06-23
Retail Investor,Buy,MSFT,88,0.41,0.0,2023-02-14
Insider,Sell,SPY,1104,-0.53,-0.05,2019-03-26
Insider,Buy,AMZN,9636,0.84,2.39,2020-12-27
Whale,Buy,GOOGL,147476,0.66,8.31,2023-02-02
Whale,Buy,BTC,308292,0.41,7.64,2023-09-13
Retail Investor,Sell,GOOGL,16,-0.47,-0.0,2021-01-09
Retail Investor,Sell,META,80,-0.34,-0.0,2022-04-30
Insider,Buy,GOOGL,2976,0.75,0.44,2020-02-24
Whale,Buy,AAPL,462663,0.44,11.76,2020-10-03
Retail Investor,Sell,ETH,62,-0.9,-0.0,2022-09-07
Whale,Sell,META,214933,-0.85,-44.32,2019-10-12
Whale,Buy,GOOGL,727510,0.89,108.26,2020-07-14
Insider,Sell,AMZN,6797,-0.56,-0.76,2020-01-05
